Assay	Library Name	Assay Date	Region	Country	Density lb/ft3	Sulfur %	KinematicViscosity @ 100 F cSt	TAN(mg KOH/g) mg KOH/g	Pour Point F	Blank
Brega-2015	Aspen Assay Library	3/3/2015	North Africa	Libya	50.484452646921	0.187548595157349	2.40299816610444	0.0737147379189823	72.6242506048042	
Brega Condensate-2007	Aspen Assay Library	5/24/2007	North Africa	Libya	45.4430080950722	0.00565066669688113	0.95796895911156	0.0272236547338852	10.9255818019506	
Bu Attifel-2009	Aspen Assay Library	6/11/2009	North Africa	Libya	50.3211349234368	0.0229414658122225	4.39533800285232	0.148195742315073	121.498154203899	
Cabinda-2016	Aspen Assay Library	4/21/2016	West Africa	Angola	53.7107739605284	0.174261150825618	9.12815273530339	0.141670051669811	111.059157680544	
Cheleken-2009	Aspen Assay Library	6/22/2009	Asia	Turkmenistan	51.5626870255928	0.114990922214475	3.57521630200806	0.16254176484524	78.9256137593182	
Didon-2011	Aspen Assay Library	7/11/2011	North Africa	Tunisia	52.6551813016359	0.811563567992552	3.71538073733062	0.0437001286582533	79.395803611185	
Diyarbekir-2006	Aspen Assay Library	9/7/2006	Middle East	Turkey	53.0700040232899	0.254125760215249	5.92759473636444	0.261909315638712	85.8290144346085	
Eagle Ford-2016	Aspen Assay Library	4/27/2016	North America	United States of America	49.3306021802688	0.21702846289298	1.9006610140721	0.0501830934933572	54.3121636318113	
Eagle Ford Ingleside-2016	Aspen Assay Library	6/1/2016	North America	United States of America	49.8006797891701	0.121945129618107	2.26716203256949	0.0599525720524628	69.6046153778201	
Echo Condensate-2015	Aspen Assay Library	1/30/2015	North America	United States of America	47.4635719562077	0.0955261506417713	1.38744567860868	0.0307685139160059	46.5221019254483	
Erha-2016	Aspen Assay Library	1/13/2016	West Africa	Nigeria	52.8090447505564	0.176053549222524	3.85990365257662	0.405454334163311	52.1132182115108	
Ezzaouia-2006	Aspen Assay Library	9/12/2006	North Africa	Tunisia	51.6465422168896	0.179659442223183	6.62640522432031	0.110908181898966	109.422854838046	
Foinaven-2011	Aspen Assay Library	3/22/2011	North Sea	United Kingdom	55.8693525855367	0.356382901682124	17.0907744585167	0.138984164825092	68.3616226563679	
Forties-2008	Aspen Assay Library	2/19/2008	North Sea	United Kingdom	51.2556117242222	0.70117054971953	2.62956234594365	0.131194008989432	91.5754655903135	
Girassol-2016	Aspen Assay Library	4/21/2016	West Africa	Angola	54.7387635297069	0.405225309663615	9.63643756159864	0.327073326116907	64.1900874309313	
Hungo-2016	Aspen Assay Library	4/21/2016	West Africa	Angola	54.4676765928741	0.610963316508131	9.07041561785172	0.398597223516844	70.8417504434724	
Karachaganak Export Blend-2010	Aspen Assay Library	7/27/2010	Asia	Kazakhstan	49.5574800010221	0.790087395664323	1.56305255051015	0.0552690467092608	49.8140504049526	
Kazakh Blend-2008	Aspen Assay Library	9/7/2008	Asia	Kazakhstan	52.6964990786851	0.439040395195921	5.61764621849563	0.265497687846302	79.1810765057891	
Kirkuk ex Kbt-2015	Aspen Assay Library	9/16/2015	Middle East	Iraq	53.3957212630276	2.36532561733045	4.73395843591739	0.185040470422598	61.3551731551917	
Kuwait-2012	Aspen Assay Library	5/22/2012	Middle East	Kuwait	54.2831609919285	2.66185479995002	7.11533195426039	0.125282192906451	74.059551920393	
Wti Magellano-2016	Aspen Assay Library	4/22/2016	North America	United States of America	50.9872471429617	0.233594045235648	2.49495606619167	0.0521453670985304	54.6096396885023	
Maralago-2012	Aspen Assay Library	6/19/2011	Latin America	Venezuela	57.7154532633109	3.96029709168095	48.6120442541365	0.561037119545777	82.0962222405973	
Maralago-2007	Aspen Assay Library	6/19/2007	Latin America	Venezuela	57.0852270357138	2.94837970715264	24.0451307685741	0.329706724979343	83.216645248985	
Marib Light-2007	Aspen Assay Library	8/16/2007	Middle East	Yemen	50.2271896880154	0.252786318108068	1.8465790881412	0.0607961978809884	70.8663400008391	
Maya-2015	Aspen Assay Library	10/30/2014	Latin America	Mexico	57.4370485906728	4.00252305504389	31.7757875810749	0.093868587976945	87.2453718896712	
Mesla-2008	Aspen Assay Library	4/21/2008	North Africa	Libya	51.9276528888234	0.159158324321367	4.66872001908022	0.0538599145338996	92.1999289985301	
Mittelplate-2010	Aspen Assay Library	3/17/2010	Europe	Germany	57.4010021511801	3.33820702922404	51.0879663368688	0.0633926282198183	84.4748592741284	
Mocoh Condensate (Safrasol)-2009	Aspen Assay Library	1/8/2009	Africa	Tanzania	50.4275843811561	0.097260121019247	1.78220157195354	0.0186686323684648	-0.841916267689747	
Nemba-2016	Aspen Assay Library	4/21/2016	West Africa	Angola	51.9610864927035	0.309745033793776	3.29658871843604	0.177003960926276	68.874164899952	
Norne-2016	Aspen Assay Library	12/1/2015	North Sea	Norway	54.6673963074643	0.291389376708194	7.69010609939688	0.180893987526332	78.8834695750126	
Okono-2008	Aspen Assay Library	8/8/2008	West Africa	Nigeria	51.2469894488927	0.844041752044415	2.02378841738464	0.173812500342661	62.4202229970022	
Okoro-2012	Aspen Assay Library	5/16/2012	West Africa	Nigeria	57.0127901779678	0.206180142650658	17.6142717340254	0.214070132011451	40.1219482459905	
Okwori-2011	Aspen Assay Library	6/14/2011	West Africa	Nigeria	52.73891465269	0.112004876722044	3.36392727259682	0.387145372278912	68.2882761842126	
Okwuibome-2014	Aspen Assay Library	12/19/2014	West Africa	Nigeria	53.5282374291918	0.140437404887851	4.15775782939717	0.24630018302283	55.9921551086157	
Oudna-2007	Aspen Assay Library	5/7/2007	North Africa	Tunisia	51.1510012970199	0.262866573865398	2.62276255944013	0.0902470004148558	55.3477092150692	
Pennington-2009	Aspen Assay Library	12/8/2008	West Africa	Nigeria	52.928239014708	0.116355011041589	2.9621079021118	0.228230729877194	64.3649681254833	
Pizzo Tamburino Condensate-2008	Aspen Assay Library	3/3/2008	Europe	Italy	45.6643711957981	0.00458080689112366	0.668000264865178	0.036	-51.5674234429906	
Plutonio-2016	Aspen Assay Library	4/21/2016	West Africa	Angola	53.4139941471183	0.408128889990946	5.7821673562404	0.102862351592159	109.21796581152	
Qaroun-2010	Aspen Assay Library	9/27/2010	Middle East	Egypt	53.0825971761235	0.318988842163243	7.4465431184742	0.200033652115116	133.016892295101	
